iter	Passed	Remaining
1012	45416	178750
1013	45460	178703
1014	45505	178658
1015	45548	178607
1016	45592	178561
1017	45640	178526
1018	45685	178481
1019	45733	178449
1020	45776	178398
1021	45824	178366
1022	45868	178316
1023	45912	178269
1024	45957	178227
1025	46004	178188
1026	46054	178165
1027	46101	178126
1028	46147	178087
1029	46195	178053
1030	46238	178002
1031	46282	177953
1032	46329	177916
1033	46376	177883
1034	46423	177843
1035	46468	177799
1036	46514	177758
1037	46560	177720
1038	46605	177674
1039	46648	177621
1040	46695	177587
1041	46743	177553
1042	46788	177510
1043	46838	177483
1044	46883	177440
1045	46930	177404
1046	46976	177360
1047	47021	177316
1048	47065	177270
1049	47110	177224
1050	47153	177174
1051	47202	177143
1052	47246	177095
1053	47289	177044
1054	47334	176998
1055	47379	176953
1056	47423	176905
1057	47467	176859
1058	47511	176811
1059	47555	176762
1060	47601	176720
1061	47648	176686
1062	47696	176651
1063	47742	176609
1064	47788	176571
1065	47833	176527
1066	47881	176494
1067	47925	176443
1068	47968	176393
1069	48012	176345
1070	48057	176301
1071	48103	176259
1072	48150	176221
1073	48197	176185
1074	48242	176139
1075	48288	176098
1076	48337	176069
1077	48379	176015
1078	48421	175960
1079	48469	175926
1080	48514	175880
1081	48560	175840
1082	48606	175799
1083	48654	175765
1084	48699	175720
1085	48746	175683
1086	48792	175645
1087	48836	175595
1088	48881	175551
1089	48929	175515
1090	48972	175467
1091	49018	175426
1092	49063	175380
1093	49109	175339
1094	49156	175301
1095	49198	175247
1096	49245	175210
1097	49292	175173
1098	49340	175138
1099	49385	175093
1100	49432	175054
1101	49476	175008
1102	49522	174965
1103	49570	174932
1104	49616	174892
1105	49662	174851
1106	49709	174812
1107	49757	174779
1108	49800	174729
1109	49845	174685
1110	49889	174635
1111	49934	174592
1112	49980	174549
1113	50024	174502
1114	50071	174463
1115	50115	174416
1116	50161	174374
1117	50209	174340
1118	50255	174300
1119	50304	174270
1120	50348	174220
1121	50395	174182
1122	50441	174141
1123	50488	174104
1124	50533	174060
1125	50579	174019
1126	50622	173968
1127	50664	173913
1128	50708	173863
1129	50754	173824
1130	50796	173769
1131	50838	173711
1132	50880	173657
1133	50924	173610
1134	50967	173560
1135	51016	173526
1136	51059	173476
1137	51105	173433
1138	51151	173394
1139	51196	173349
1140	51240	173300
1141	51284	173255
1142	51328	173206
1143	51372	173158
1144	51417	173113
1145	51462	173069
1146	51510	173034
1147	51555	172990
1148	51602	172949
1149	51646	172903
1150	51692	172862
1151	51738	172821
1152	51783	172777
1153	51830	172739
1154	51876	172697
1155	51923	172657
1156	51968	172615
1157	52011	172563
1158	52057	172523
1159	52103	172479
1160	52150	172441
1161	52195	172396
1162	52241	172358
1163	52286	172312
1164	52330	172263
1165	52378	172229
1166	52428	172199
1167	52471	172149
1168	52513	172095
1169	52557	172048
1170	52599	171991
1171	52644	171948
1172	52692	171914
1173	52740	171878
1174	52787	171840
1175	52833	171798
1176	52877	171751
1177	52923	171708
1178	52966	171659
1179	53015	171625
1180	53061	171584
1181	53108	171546
1182	53157	171514
1183	53204	171475
1184	53252	171442
1185	53301	171409
1186	53345	171360
1187	53390	171315
1188	53436	171274
1189	53481	171230
1190	53529	171196
1191	53576	171157
1192	53622	171116
1193	53666	171067
1194	53711	171021
1195	53757	170980
1196	53802	170936
1197	53848	170895
1198	53896	170858
1199	53942	170818
1200	53989	170780
1201	54035	170738
1202	54081	170697
1203	54129	170661
1204	54175	170618
1205	54219	170570
1206	54262	170519
1207	54305	170469
1208	54350	170424
1209	54393	170371
1210	54436	170320
1211	54478	170266
1212	54521	170216
1213	54568	170176
1214	54612	170129
1215	54656	170082
1216	54701	170036
1217	54745	169990
1218	54792	169951
1219	54840	169915
1220	54882	169861
1221	54927	169818
1222	54972	169772
1223	55018	169729
1224	55063	169684
1225	55109	169643
1226	55154	169600
1227	55202	169564
1228	55245	169511
1229	55293	169475
1230	55335	169424
1231	55382	169383
1232	55428	169342
1233	55475	169303
1234	55518	169252
1235	55560	169199
1236	55608	169162
1237	55652	169115
1238	55698	169072
1239	55743	169027
1240	55787	168980
1241	55829	168927
1242	55873	168880
1243	55919	168836
1244	55962	168786
1245	56006	168737
1246	56050	168691
1247	56093	168639
1248	56134	168581
1249	56179	168539
1250	56224	168494
1251	56271	168454
1252	56315	168407
1253	56359	168359
1254	56405	168318
1255	56451	168275
1256	56495	168229
1257	56540	168183
1258	56587	168145
1259	56633	168101
1260	56676	168051
1261	56721	168008
1262	56765	167960
1263	56810	167913
1264	56851	167857
1265	56898	167818
1266	56944	167777
1267	56990	167735
1268	57034	167688
1269	57080	167644
1270	57126	167603
1271	57168	167549
1272	57209	167494
1273	57255	167453
1274	57300	167405
1275	57346	167364
1276	57392	167323
1277	57438	167283
1278	57480	167229
1279	57524	167181
1280	57566	167126
1281	57612	167084
1282	57654	167031
1283	57698	166983
1284	57744	166940
1285	57789	166898
1286	57833	166850
1287	57876	166799
1288	57920	166751
1289	57966	166710
1290	58010	166663
1291	58056	166619
1292	58100	166572
1293	58143	166521
1294	58189	166480
1295	58232	166429
1296	58276	166382
1297	58321	166338
1298	58366	166292
1299	58411	166248
1300	58455	166200
1301	58501	166157
1302	58543	166104
1303	58586	166053
1304	58629	166005
1305	58677	165968
1306	58726	165934
1307	58771	165890
1308	58818	165852
1309	58864	165809
1310	58911	165769
1311	58955	165722
1312	59000	165677
1313	59044	165630
1314	59089	165586
1315	59133	165538
1316	59179	165496
1317	59225	165453
1318	59267	165401
1319	59313	165358
1320	59358	165314
1321	59404	165272
1322	59449	165227
1323	59493	165180
1324	59538	165134
1325	59582	165086
1326	59627	165042
1327	59672	164998
1328	59718	164957
1329	59765	164915
1330	59812	164876
1331	59859	164838
1332	59905	164795
1333	59950	164752
1334	59994	164703
1335	60041	164664
1336	60084	164615
1337	60133	164581
1338	60181	164545
1339	60226	164499
1340	60269	164449
1341	60312	164399
1342	60357	164354
1343	60401	164305
1344	60444	164257
1345	60488	164209
1346	60532	164161
1347	60578	164120
1348	60623	164074
1349	60669	164033
1350	60715	163991
1351	60758	163941
1352	60804	163897
1353	60850	163855
1354	60895	163811
1355	60939	163762
1356	60981	163709
1357	61024	163661
1358	61071	163621
1359	61114	163571
1360	61161	163532
1361	61206	163487
1362	61251	163441
1363	61294	163392
1364	61338	163344
1365	61381	163293
1366	61426	163250
1367	61469	163200
1368	61511	163146
1369	61554	163096
1370	61598	163048
1371	61641	163000
1372	61686	162954
1373	61730	162906
1374	61778	162870
1375	61823	162826
1376	61869	162783
1377	61914	162738
1378	61957	162687
1379	62002	162643
1380	62049	162604
1381	62095	162562
1382	62144	162529
1383	62192	162490
1384	62237	162445
1385	62279	162393
1386	62322	162344
1387	62364	162290
1388	62409	162247
1389	62456	162206
1390	62502	162166
1391	62550	162127
1392	62594	162080
1393	62642	162044
1394	62686	161996
1395	62733	161956
1396	62776	161905
1397	62822	161864
1398	62868	161822
1399	62913	161777
1400	62958	161733
1401	63003	161688
1402	63047	161641
1403	63092	161595
1404	63136	161549
1405	63183	161507
1406	63227	161461
1407	63271	161412
1408	63316	161368
1409	63359	161320
1410	63401	161265
1411	63447	161224
1412	63490	161175
1413	63536	161132
1414	63581	161088
1415	63628	161048
1416	63674	161006
1417	63717	160956
1418	63762	160911
1419	63807	160865
1420	63850	160817
1421	63895	160771
1422	63940	160728
1423	63986	160685
1424	64029	160634
1425	64070	160580
1426	64115	160535
1427	64159	160488
1428	64204	160444
1429	64248	160397
1430	64296	160358
1431	64341	160315
1432	64387	160271
1433	64430	160223
1434	64476	160180
1435	64519	160130
1436	64561	160079
1437	64606	160033
1438	64649	159984
1439	64694	159939
1440	64739	159894
1441	64784	159850
1442	64829	159804
1443	64870	159750
1444	64915	159705
1445	64965	159673
1446	65013	159637
1447	65055	159583
1448	65099	159535
1449	65140	159481
1450	65185	159436
1451	65228	159387
1452	65273	159343
1453	65321	159305
1454	65363	159253
1455	65408	159208
1456	65451	159158
1457	65494	159108
1458	65537	159059
1459	65584	159019
1460	65625	158965
1461	65668	158917
1462	65711	158865
1463	65753	158814
1464	65796	158765
1465	65843	158724
1466	65889	158683
1467	65935	158641
1468	65978	158591
1469	66023	158545
1470	66067	158500
1471	66111	158452
1472	66160	158416
1473	66204	158370
1474	66247	158320
1475	66291	158273
1476	66333	158221
1477	66379	158178
1478	66424	158135
1479	66470	158091
1480	66512	158040
1481	66556	157991
1482	66600	157945
1483	66646	157904
1484	66690	157857
1485	66735	157811
1486	66781	157770
1487	66826	157725
1488	66870	157677
1489	66915	157633
1490	66962	157592
1491	67006	157545
1492	67049	157497
1493	67095	157453
1494	67140	157408
1495	67185	157364
1496	67228	157314
1497	67272	157269
1498	67316	157221
1499	67360	157174
1500	67407	157135
1501	67452	157089
1502	67496	157043
1503	67541	156996
1504	67583	156947
1505	67628	156901
1506	67674	156859
1507	67718	156812
1508	67762	156765
1509	67811	156728
1510	67858	156690
1511	67904	156648
1512	67954	156613
1513	67998	156566
1514	68044	156524
1515	68090	156481
1516	68136	156439
1517	68182	156396
1518	68228	156354
1519	68274	156313
1520	68319	156267
1521	68364	156222
1522	68407	156174
1523	68451	156125
1524	68495	156080
1525	68538	156029
1526	68581	155981
1527	68625	155934
1528	68668	155884
1529	68711	155835
1530	68759	155797
1531	68803	155750
1532	68844	155697
1533	68887	155647
1534	68934	155606
1535	68979	155562
1536	69022	155514
1537	69070	155475
1538	69114	155429
1539	69162	155390
1540	69207	155346
1541	69250	155297
1542	69293	155247
1543	69336	155198
1544	69379	155150
1545	69424	155105
1546	69474	155071
1547	69517	155022
1548	69560	154973
1549	69604	154926
1550	69650	154883
1551	69694	154837
1552	69738	154790
1553	69781	154741
1554	69827	154698
1555	69870	154649
1556	69915	154604
1557	69958	154556
1558	70003	154511
1559	70047	154464
1560	70093	154421
1561	70138	154377
1562	70183	154331
1563	70225	154279
1564	70269	154234
1565	70312	154183
1566	70358	154141
1567	70401	154092
1568	70445	154045
1569	70488	153996
1570	70531	153948
1571	70578	153908
1572	70624	153865
1573	70668	153819
1574	70715	153777
1575	70762	153737
1576	70805	153687
1577	70851	153645
1578	70893	153596
1579	70935	153543
1580	70981	153500
1581	71026	153455
1582	71071	153411
1583	71117	153369
1584	71161	153322
1585	71206	153278
1586	71248	153226
1587	71297	153190
1588	71341	153145
1589	71384	153095
1590	71428	153049
1591	71469	152995
1592	71513	152947
1593	71559	152904
1594	71600	152853
1595	71644	152805
1596	71690	152762
1597	71734	152717
1598	71778	152669
1599	71820	152617
1600	71862	152567
1601	71907	152523
1602	71950	152474
1603	71991	152421
1604	72036	152375
1605	72084	152337
1606	72126	152286
1607	72170	152240
1608	72212	152189
1609	72254	152138
1610	72301	152097
1611	72345	152051
1612	72391	152008
1613	72435	151962
1614	72481	151920
1615	72526	151873
1616	72569	151825
1617	72612	151776
1618	72656	151730
1619	72700	151684
1620	72746	151642
1621	72791	151596
1622	72835	151550
1623	72880	151505
1624	72925	151460
1625	72970	151416
1626	73016	151374
1627	73058	151322
1628	73099	151268
1629	73145	151226
1630	73190	151182
1631	73233	151133
1632	73273	151079
1633	73317	151032
1634	73363	150989
1635	73409	150946
1636	73453	150901
1637	73496	150852
1638	73539	150803
1639	73582	150753
1640	73626	150706
1641	73670	150661
1642	73715	150617
1643	73755	150562
1644	73799	150514
1645	73842	150466
1646	73887	150422
1647	73932	150376
1648	73977	150332
1649	74020	150285
1650	74066	150242
1651	74110	150195
1652	74156	150152
1653	74201	150106
1654	74243	150056
1655	74287	150011
1656	74332	149964
1657	74377	149922
1658	74423	149877
1659	74466	149829
1660	74512	149787
1661	74558	149744
1662	74600	149693
1663	74641	149642
1664	74687	149599
